id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
560964519454660117,"Yonge&Finch/Work from home,Clean Private Room,WiFi",Newtonbrook East,43.78828,-79.41515,Private room in residential home,Private room,2,1.0,1.0,55.0,3,90,,,,,,,,False,151305987
560976443442363686,Cheerful home in a quiet neighborhood,Lambton Baby Point,43.6591374302966,-79.49639889384908,Entire residential home,Entire home/apt,4,2.0,3.0,125.0,3,365,,,,,,,,False,2572592
560989648394750986,🇨🇦🍻Iconic  Lux Condo DowntownTO CN Tower Lake,Waterfront Communities-The Island,43.64119,-79.38301,Entire rental unit,Entire home/apt,10,3.0,5.0,282.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,134933529
560997793614563647,"🥬🔥Iconic Lux Condo Downtown TO CN Tower, Lake",Waterfront Communities-The Island,43.64290248439032,-79.38311835274689,Entire rental unit,Entire home/apt,10,2.0,5.0,282.0,1,1125,,,,,,,,True,134933529
561018539296052651,Private Studio Apartment Perfect For Solo Traveler,Kensington-Chinatown,43.65146939784274,-79.40149950967997,Entire rental unit,Entire home/apt,1,,1.0,53.0,28,60,,,,,,,,False,257653032
561034945636972468,Incredible 3 Storey House - 3 BDRM - Downtown,Roncesvalles,43.65191759851291,-79.44884672449177,Entire residential home,Entire home/apt,6,3.0,5.0,313.0,1,5,,,,,,,,False,443411394
561053928886394489,Marvel Inspired Studio Apartment Downtown Toronto,Kensington-Chinatown,43.65349591403808,-79.40059087530288,Entire rental unit,Entire home/apt,2,1.0,2.0,59.0,1,60,,,,,,,,False,273649187
561074889432075685,Private Bed/Bathroom Downtown TO Trinity Bellwoods,Trinity-Bellwoods,43.65018640040644,-79.40952970912778,Private room in residential home,Private room,1,1.0,1.0,39.0,1,60,,,,,,,,False,294919266
561081543558916561,Private Bed/Bath DowntownTO TrinityBellwoods,Trinity-Bellwoods,43.65089568078113,-79.41144857536342,Private room in residential home,Private room,2,1.0,1.0,40.0,1,60,,,,,,,,False,294919266
561088206329534152,"Modern Cozy Home, 3Bedrooms, Free Parking Toronto",Caledonia-Fairbank,43.68618029912096,-79.46042840736783,Entire residential home,Entire home/apt,6,3.0,3.0,301.0,1,60,,,,,,,,True,304801974
561094180417005031,"Cozy 2Bedroom Unit, Free Parking Toronto, SMART TV",Caledonia-Fairbank,43.68848634975051,-79.46210068578988,Entire residential home,Entire home/apt,4,2.0,2.0,127.0,1,60,4.0,5.0,5.0,5.0,5.0,5.0,5.0,True,304801974
561098642864980650,STYLISH LAKEVIEW /FREEPARKING/NETFLIX /HIGHFLOOR⚡️,Waterfront Communities-The Island,43.63961876509698,-79.39592068960026,Private room in condominium (condo),Private room,2,1.0,1.0,279.0,1,365,,,,,,,,True,384413615
561101287546492261,Stylish and Cozy 2Bedroom Unit Smart TV Toronto,Corso Italia-Davenport,43.67312,-79.44661,Entire residential home,Entire home/apt,4,2.0,2.0,159.0,1,60,4.0,4.0,4.0,5.0,5.0,4.0,3.0,True,304801974
561110626592921292,Newly Renovated Unit Close to Airport FreeParking,Rustic,43.71208022616309,-79.5046942802432,Entire residential home,Entire home/apt,2,,1.0,108.0,1,60,5.0,5.0,5.0,5.0,5.0,4.0,4.0,True,340663333
561115156229758392,Private Unit Toronto close to Airport Free Parking,Rustic,43.71382961944581,-79.50416211879293,Entire residential home,Entire home/apt,2,1.0,1.0,100.0,1,60,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,340663333
561120251968518560,"Spacious Cozy One Bedroom Unit, Smart TV Toronto",Dovercourt-Wallace Emerson-Junction,43.67085,-79.44642,Entire residential home,Entire home/apt,2,1.0,1.0,116.0,1,60,,,,,,,,True,340663333
561150007163206535,Lovely condo at an amazing location in Toronto,Waterfront Communities-The Island,43.6421809451422,-79.38317819591597,Entire condominium (condo),Entire home/apt,3,1.0,2.0,182.0,1,365,,,,,,,,True,96717048
561186269430277371,Entire cozy studio unit in downtown Toronto,North St.James Town,43.67031,-79.37926,Entire rental unit,Entire home/apt,2,,1.0,103.0,7,365,,,,,,,,True,209756478
561274164308346151,Cozy Circus themed one bedroom east end apartment.,Greenwood-Coxwell,43.66983439590006,-79.32403162340803,Entire guest suite,Entire home/apt,3,1.0,2.0,55.0,28,120,,,,,,,,False,43067029
561286852506838189,BEAUTIFUL CONDO BY THE CN TOWER,Waterfront Communities-The Island,43.640703944192985,-79.39753417401046,Entire condominium (condo),Entire home/apt,4,2.0,2.0,441.0,1,365,,,,,,,,False,444851379
561440496631470318,Spacious Room with Attached Bathroom Toronto,South Riverdale,43.66524659203702,-79.34676900834756,Private room in rental unit,Private room,2,1.0,1.0,54.0,3,60,,,,,,,,False,260610531
561495267000668240,☆Cozy 1 bdrm. apt in the East End☆,Moss Park,43.6557018282296,-79.3704851519049,Entire rental unit,Entire home/apt,2,1.0,1.0,110.0,2,365,,,,,,,,False,102055069
561544764489221266,Luxurious 3 Bedroom Condo in Downtown Toronto,Bay Street Corridor,43.6642444010627,-79.38904718007076,Entire condominium (condo),Entire home/apt,4,3.0,3.0,120.0,30,1125,,,,,,,,True,36114239
561553670767770896,Private Room.Very Close To Downtown. 4 Min To Sub,Mount Pleasant West,43.699242239218016,-79.39004804359743,Private room in rental unit,Private room,1,1.0,1.0,36.0,28,365,,,,,,,,True,432649837
561585769594900676,Unwind in a Backyard Oasis - University of Toronto,University,43.66153425148153,-79.40546376864333,Entire residential home,Entire home/apt,11,5.0,5.0,1000.0,2,90,,,,,,,,True,240599114
561737950496380517,"Modern, Cozy 2 Bedroom Basement Apartment",Taylor-Massey,43.69116573329954,-79.28952559687042,Entire residential home,Entire home/apt,6,2.0,3.0,96.0,28,60,,,,,,,,False,80381452
561825033350336958,Cozy Studio Unit Sleeps 4 Toronto Close to Airport,Caledonia-Fairbank,43.68730139900294,-79.45789375195098,Entire residential home,Entire home/apt,4,,3.0,64.0,1,60,,,,,,,,False,350641271
561894731439938655,Bright and Spacious Two Bedroom Basement Apartment,Parkwoods-Donalda,43.74391556692694,-79.32806144308411,Entire bungalow,Entire home/apt,4,2.0,3.0,71.0,28,1125,,,,,,,,False,81152902
562175937714294608,Lovely 2 Bedroom in the entertainment district.,Waterfront Communities-The Island,43.64554991625646,-79.39164193813079,Entire condominium (condo),Entire home/apt,4,2.0,2.0,180.0,29,365,,,,,,,,True,10352387
562240791905877495,Adorable 3 bedroom Apt in vacation house,Newtonbrook East,43.79792696101213,-79.41490302997416,Entire vacation home,Entire home/apt,10,3.0,6.0,242.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,438740647
562263594339019929,Amazing Deal! Lovely 1bd April-Aug in Pape Village,Old East York,43.69096636801461,-79.34327951236672,Entire rental unit,Entire home/apt,3,1.0,1.0,70.0,60,180,,,,,,,,False,10195368
562333059422992455,"Billion Dollar CN Tower view 2 Bed 2 bath, Parking",Waterfront Communities-The Island,43.643076718854005,-79.38049547538427,Entire condominium (condo),Entire home/apt,6,2.0,2.0,389.0,1,28,,,,,,,,False,445080811
562362582446797640,Studio at downtown,Bay Street Corridor,43.66264788355264,-79.38512072556387,Entire condominium (condo),Entire home/apt,2,1.0,1.0,116.0,1,30,,,,,,,,False,375200393
562377755483462401,Beautiful 2 Bedroom House in Quiet Neighborhood,Stonegate-Queensway,43.628831737544985,-79.51243986259442,Entire residential home,Entire home/apt,4,2.0,2.0,232.0,3,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,416677873
562382487521481006,Cheerful 2 Bedroom with Free Parking,Stonegate-Queensway,43.62891557902627,-79.51283747555095,Entire residential home,Entire home/apt,5,2.0,3.0,156.0,3,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,416677873
562382957056727706,Beautiful 1 Bedroom 1 Bath Entertainment District,Waterfront Communities-The Island,43.64162,-79.38338,Entire condominium (condo),Entire home/apt,2,1.0,1.0,152.0,3,365,4.5,4.5,5.0,4.5,5.0,4.5,4.0,True,416677873
562385009486569670,Beautiful 4 Bedroom House in Quiet Neighborhood,Stonegate-Queensway,43.62830833868019,-79.5108801407658,Entire residential home,Entire home/apt,10,4.0,5.0,356.0,3,365,,,,,,,,False,416677873
562450099324641499,Renovated private room with bathroom in Toronto,Dufferin Grove,43.65952017559525,-79.4341901328566,Private room in guest suite,Private room,4,1.0,2.0,89.0,2,365,,,,,,,,False,93362629
562557352053750288,Large Private Room Nearby Essential Stores & TRANS,North Riverdale,43.66704913357049,-79.34620447122693,Private room in rental unit,Private room,2,1.0,1.0,40.0,3,60,,,,,,,,False,411338353
562981973990068971,65 Room near York University Subway,York University Heights,43.76935015960897,-79.49740900889404,Private room in residential home,Private room,1,1.0,1.0,69.0,1,120,1.0,1.0,2.0,1.0,1.0,4.0,1.0,True,325656364
562995480974484248,Nice Room near York University Subway,York University Heights,43.76908293348373,-79.49714055560509,Private room in residential home,Private room,1,1.0,1.0,55.0,1,120,,,,,,,,True,325656364
563023893950578407,Cheerful and spacious 4 BR with Pool,High Park-Swansea,43.64695555736152,-79.45676922635329,Entire residential home,Entire home/apt,8,4.0,5.0,320.0,28,365,,,,,,,,False,1147214
563032191536529672,Cozy Queen Room (for females) near Pearson YYZ,Humber Summit,43.7563,-79.57143,Private room in residential home,Private room,1,1.0,1.0,43.0,10,365,,,,,,,,False,445225577
563100073139843485,One bedroom apartment in Toronto's Hip Hotspot,Junction Area,43.66747747941007,-79.48038413055471,Entire guest suite,Entire home/apt,2,1.0,1.0,64.0,28,1125,,,,,,,,True,145533602
563139074155602623,Cheerful 2 Bedroom Home in the city,Annex,43.67247028956331,-79.410650485099,Entire residential home,Entire home/apt,4,1.0,1.0,46.0,28,365,,,,,,,,False,380051660
563163736569131302,Beautiful modern   house with hot-tub,Newtonbrook East,43.79857044752665,-79.41518055885724,Entire residential home,Entire home/apt,16,6.0,9.0,542.0,1,28,,,,,,,,True,438740647
563171740032688834,"Cottage style 4 bed 4 bath home, unique and lovely",Newtonbrook East,43.80581,-79.40126,Entire cottage,Entire home/apt,8,4.0,1.0,280.0,12,365,,,,,,,,False,385143931
563177641800441180,Spacious 2BR Apartment - Trinity Bellwoods Park!,Trinity-Bellwoods,43.653925033848445,-79.42270561219874,Entire rental unit,Entire home/apt,6,2.0,3.0,116.0,1,21,,,,,,,,True,364262342
563178325788015082,Comfy Private Unit 2 Bedroom Toronto Free Parking,Wexford/Maryvale,43.76894210229149,-79.30652987934599,Entire residential home,Entire home/apt,3,2.0,2.0,64.0,1,60,,,,,,,,False,212888701
563182739904962577,Specious & bright 2 BDR 2 Bath high rise+Parking,Lansing-Westgate,43.75616966668716,-79.40952939497036,Entire condominium (condo),Entire home/apt,4,2.0,2.0,156.0,12,365,4.0,5.0,5.0,1.0,1.0,5.0,5.0,False,385143931
563196765513349955,Spacious Private Bedroom Downtown TO Solo Traveler,Trinity-Bellwoods,43.65167005246556,-79.40976064587493,Private room in residential home,Private room,1,1.0,1.0,35.0,1,60,,,,,,,,False,242146894
563216321938677245,Private Cozy Bedroom DowntownToronto 5StarLocation,Trinity-Bellwoods,43.64991327323743,-79.40934191192123,Private room in residential home,Private room,1,1.0,1.0,35.0,1,60,,,,,,,,False,338011652
563598040796319519,ENTIRE PLACE BOHO 2 BEDROOM KING BED FREE PARKING,Waterfront Communities-The Island,43.640029261604425,-79.39821042438469,Private room in condominium (condo),Private room,6,2.0,3.0,212.0,1,365,,,,,,,,False,55319551
563685493604570259,Luxury Urban Oasis in a 3br Classic Edwardian,South Parkdale,43.63454,-79.43815,Entire residential home,Entire home/apt,6,3.0,3.0,188.0,28,365,,,,,,,,False,4818522
563786877125021000,ENTIRE PLACE PANORAMIC CHIC KING BED FREE PARKING,Waterfront Communities-The Island,43.64030910516328,-79.39879912220417,Private room in condominium (condo),Private room,4,1.0,2.0,202.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,55319551
563862226039272037,East Downtown Toronto Studio Unit,South Riverdale,43.6652828947848,-79.350729665216,Entire rental unit,Entire home/apt,2,,1.0,61.0,3,60,,,,,,,,False,222728535
563888877776756349,Cheerful private bedroom 3,Bayview Village,43.77160964161321,-79.37751017019032,Private room in residential home,Private room,1,1.0,1.0,50.0,1,365,,,,,,,,False,232638383
563894772790156866,East Downtown Bachelor Unit with Paid Parking,North Riverdale,43.66682412876738,-79.35069924363393,Entire rental unit,Entire home/apt,2,,1.0,61.0,3,60,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,222728535
563912635845721649,Downtown Toronto Private Bedroom Kensington Market,Kensington-Chinatown,43.6558,-79.39955,Private room in residential home,Private room,1,1.0,1.0,35.0,1,60,,,,,,,,False,342074880
563923429330481938,Cozy Bedroom Kensington Market Downtown Toronto,Kensington-Chinatown,43.65759135035223,-79.4001450569369,Private room in residential home,Private room,1,1.0,1.0,35.0,1,60,,,,,,,,False,342074880
563940916862998695,Joy 302 ☺ self check-in & free parking,O'Connor-Parkview,43.71087181359469,-79.31025052845744,Entire rental unit,Entire home/apt,3,1.0,1.0,75.0,30,60,,,,,,,,True,101117782
563949012820651504,Private Bedroom Downtown Toronto Central,Kensington-Chinatown,43.65702930269208,-79.39972772100084,Private room in residential home,Private room,1,1.0,1.0,35.0,1,60,,,,,,,,False,344709977
563956533208323813,"Spacious Studio Unit, Walkout to Backyard Toronto",Downsview-Roding-CFB,43.72763438011632,-79.50176446479578,Entire guest suite,Entire home/apt,2,,1.0,60.0,1,60,5.0,5.0,5.0,5.0,5.0,4.0,4.0,False,341626040
563962006817256928,Spacious 2Bedroom Unit in Toronto Free Parking,Downsview-Roding-CFB,43.72718715827723,-79.50377511349565,Entire residential home,Entire home/apt,4,2.0,2.0,69.0,1,60,,,,,,,,False,341626040
563970325063387682,Private Bedroom Smart TV Close to Airport Toronto,Caledonia-Fairbank,43.69143561261328,-79.45399195014241,Private room in residential home,Private room,1,1.0,1.0,49.0,1,60,,,,,,,,False,341626040
563987566385978306,"Cozy Bedroom, Downtown Toronto, Smart TV",Kensington-Chinatown,43.65341,-79.40185,Private room in rental unit,Private room,1,1.0,1.0,35.0,1,60,,,,,,,,False,372316210
564095310589943449,Cozy Midtown Condo with Scenic Patio,Mount Pleasant West,43.70956525980757,-79.39876684794818,Entire condominium (condo),Entire home/apt,2,1.0,1.0,76.0,28,365,,,,,,,,False,445465096
564276806735232762,Cozy 1-bedroom in Toronto,Banbury-Don Mills,43.738101135865584,-79.34153630323586,Private room in rental unit,Private room,1,1.0,1.0,29.0,28,90,,,,,,,,False,84804553
564389032486991052,Lovely 1+1 Bedroom Condo in Downtown Toronto,Waterfront Communities-The Island,43.63914611043347,-79.39552354526369,Entire condominium (condo),Entire home/apt,4,1.0,2.0,128.0,28,1125,,,,,,,,True,1158671
564419832165592853,1BR Comfort City Living Condo,Annex,43.6696178718646,-79.39373555526589,Entire condominium (condo),Entire home/apt,2,1.0,1.0,130.0,2,365,,,,,,,,True,348430184
564510355221857947,Spacious room near York University Subway,York University Heights,43.76676401341004,-79.5032826690284,Private room in residential home,Private room,1,1.0,1.0,75.0,1,120,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,43488381
564578315327626203,Nice Warm Bright Quiet Room near York University,York University Heights,43.76793529017513,-79.49806146967434,Private room in residential home,Private room,1,1.0,1.0,69.0,1,120,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,43488381
564598594345585342,Great location 1 + den spacious suite with parking,Waterfront Communities-The Island,43.63987121878145,-79.39255374903146,Entire condominium (condo),Entire home/apt,3,1.0,2.0,202.0,28,179,,,,,,,,False,157318521
564604814516712730,Luxury City Centre Loft In Trinity Bellwoods,Trinity-Bellwoods,43.64689713264842,-79.418191938579,Entire condominium (condo),Entire home/apt,2,1.0,1.0,168.0,4,1125,,,,,,,,False,340760743
564668710809154996,NEW✰ FULL EVENT SPACE (Located DT!!),South Parkdale,43.64069257138114,-79.42408931729872,Entire condominium (condo),Entire home/apt,16,,1.0,560.0,1,365,5.0,5.0,4.0,5.0,5.0,5.0,5.0,True,436273754
564690651146771035,Cozy 3Bedroom Apartment Downtown Toronto Sleeps 5,Kensington-Chinatown,43.65158575376412,-79.400130223666,Entire rental unit,Entire home/apt,5,3.0,3.0,67.0,28,60,,,,,,,,False,328073211
